Viscosita_100,TBN_basic,TAN_acid,ipH,Ossidazione,IR,Sodio,Glicole,Silicio,Ferro,Alluminio,Cromo,Rame,Stagno,Piombo,EndCharge
14.7,4.7,2.0,7.409696290990125,9.8,13.2,0.0,0.00939601345410992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.6,6.0,1.3,5.553881254049747,9.9,5.4,0.0,0.0043312261806848825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.7,5.1,2.0,3.6815164600455383,11.0,6.2,0.0,0.017285050669033162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14.8,4.7,2.7,3.4692793962761868,11.6,8.2,3.0,0.02426944538752402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14.7,5.8,2.7,6.9973796407160656,8.9,5.1,2.0,0.008724448554091973,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14.5,6.4,2.0,4.172905136588427,8.0,4.9,0.0,0.021574347520630387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.3,4.7,2.8,7.3803739328219695,11.2,7.0,0.0,0.004018873270664346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.6,6.2,1.6,5.400564733452467,8.3,4.2,1.0,0.003735365233762221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.2,5.6,1.7,5.379746691539023,9.4,5.2,0.0,0.04119859938999317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14.5,4.7,1.8,5.53319414370977,10.2,6.8,0.0,0.023335961652984443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,6.5,1.8,5.809458256940468,8.1,4.6,5.0,0.034702707768417766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.8,8.3,1.9,5.8,1.7,0.9,1.0,0.0029202489981804145,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0
13.9,7.6,2.2,5.5,3.5,1.0,2.0,0.015262996604390134,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0
15.0,5.2,3.2,4.5,8.6,2.0,2.0,0.022502050509764147,3.0,5.0,4.0,1.0,3.0,1.0,1.0,0.0
15.1,4.5,3.4,4.0,10.2,2.5,1.0,0.016630414892346883,3.0,5.0,4.0,1.0,4.0,1.0,1.0,0.0
15.0,4.3,2.9,4.6,12.3,2.3,1.0,0.027569256043354532,3.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0
15.3,6.4,4.12,4.710130850691755,8.01,11.46,17.524890345367368,0.01,1.0,3.0,2.0,1.0,1.0,0.22064394486798644,1.0,1.0
15.7,7.33,5.07,5.458141627188329,8.25,12.05,11.58207732393138,0.01,4.0,4.0,2.0,1.0,1.0,1.4498835775253995,1.0,1.0
15.5,8.91,3.9,5.599569054351064,6.12,8.6,5.705797164240089,0.01,41.0,3.0,2.0,1.0,1.0,1.8507615471236045,1.0,0.0
15.92,6.23,2.43,4.840876925024724,9.7,12.63,20.731024426174358,0.01,2.0,4.0,3.0,1.0,1.0,0.3840940416623293,1.0,0.0
16.05,5.58,4.83,6.66447248737952,11.39,13.2,19.448852875125237,0.01,61.0,5.0,6.0,1.0,1.0,1.1556177367261111,1.0,1.0
16.86,5.32,3.5,5.416441615860537,9.45,9.86,3.716384082357087,0.01,41.0,12.0,2.0,1.0,1.0,0.6538025501071446,1.0,0.0
17.14,4.94,2.78,7.0605609826295455,10.53,10.67,1.1108563653683723,0.01,6.0,3.0,1.0,1.0,1.0,1.7473406942997634,1.0,1.0
